"Home Tabs Pro","Home Tabs Pro"
"General Settings","General Settings"
"Display at home page","Display at home page"
"Top Sellers","Top Sellers"
"Top Rated","Top Rated"
"Most Reviewed","Most Reviewed"
"Just Added","Just Added"
"Top Sellers Settings","Top Sellers Settings"
"Top Rated Settings","Top Rated Settings"
"Most Reviewed Settings","Most Reviewed Settings"
"Just Added Settings","Just Added Settings"
"Wish List Top Settings","Wish List Top Settings"
"Wish List Top","Wish List Top"
"Enabled","Enabled"
"Order","Order"
"Title","Title"
"Products","Products"
"Mode","Mode"
"Grid","Grid"
"List","List"
"Top","Top"
"Bottom","Bottom"
"Position at home page","Position at home page"
"Loading...","Loading..."
"Loader text","Loader text"
"Loader image","Loader image"
"Top Viewed Settings","Top Viewed Settings"
"Top Viewed","Top Viewed"
