Code,Name,Description,Category,Price,Product_URL,Image_URL,Brand
5,"Asus F550CC-XO068H Refurbished Laptop","Intel Core i5-3337U 1.8GHz | 15.6"" (1366x768) | 4 GB RAM | 750 GB HDD | nVidia GeForce GT 720M 2GB | Windows 8","Oz-Bargain Stunner Deals",619.00,http://www.wireless1.com.au/ozbargain-specials/asus-f550cc-x0068h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/i/m/image4_1.jpg,Asus
6,"Asus F550CC-XO069H Refurbished Laptop","Intel Core i7-3537U 2.0GHz | 15.6"" LED | 4GB RAM | 750GB HDD | nVidia GeForce GT 720M 2 GB | Windows 8",Refurbished,749.00,http://www.wireless1.com.au/laptops/laptop-type/refurbished/asus-f550cc-xo069h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/i/m/image5_1_1.jpg,Asus
7,"Asus F550DP-XX008H Refurbished Laptop","AMD A8 5550M 2.1GHz | 15.6"" LED HD | 8GB RAM | 750GB HDD | Windows 8","Oz-Bargain Stunner Deals",599.00,http://www.wireless1.com.au/ozbargain-specials/asus-f550dp-xx008h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/f/5/f550dp-xx008h-image-1.jpg,Asus
10,"Asus G750JX-T4061H Laptop","Intel Core i7-4700HQ 2.4GHz | 17.3"" FHD | 32GB RAM | 2TB HDD | NVIDIA GeForce GTX 770M 3GB | Windows 8",Notebooks,"2,249.00",http://www.wireless1.com.au/laptops/laptop-type/asus-g750jx-t4061h-laptop,http://www.wireless1.com.au/media/catalog/product/g/7/g750_1_.jpg,Asus
15,"Asus K55DR-SX051H Refurbished Laptop","AMD APU A8-4500M 1.90GHz (up to 2.80GHz) | 15.6"" (1366x768) | 8GB RAM | 750GB HDD | Windows 8","Oz-Bargain Stunner Deals",499.00,http://www.wireless1.com.au/ozbargain-specials/asus-k55dr-sx051h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/f/r/front_1.jpg,Asus
16,"Asus K56CB-XO389H Refurbished Laptop","Intel Core i7-3537U 2.0GHz | 15.6"" (1366x768) | 4GB RAM | 500GB HDD | NVIDIA GeForce GT 740M 2GB | Windows 8",Refurbished,699.00,http://www.wireless1.com.au/laptops/laptop-type/refurbished/asus-k56cb-xo389h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/k/5/k56cb_1_.jpg,Asus
17,"Asus K56CM-XX164H Refurbished Laptop","Intel Core i7-3517U | 15.6"" (1366x768) | 4GB RAM | 1TB HDD | NVIDIA GeForce GT 635M 2GB | Windows 8",Refurbished,699.00,http://www.wireless1.com.au/laptops/laptop-type/refurbished/asus-k56cm-xx164h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/i/m/image5_2.jpg,Asus
20,"Asus N750JV-T4184H Laptop","Intel Core i7-4700HQ 2.4GHz | 17.3"" FHD LED | 16GB RAM | 3TB HDD | nVidia GeForce GT750M 4GB | Windows 8 ",Notebooks,"1,799.00",http://www.wireless1.com.au/laptops/laptop-type/asus-n750jv-t4184h-laptop,http://www.wireless1.com.au/media/catalog/product/n/7/n750_2_.jpg,Asus
22,"Asus R505CA-XX204P Refurbished Laptop","Intel Core i7-3537U 2GHz | 15.6"" LED HD | 4GB RAM | 750GB HDD | Windows 8",Refurbished,699.00,http://www.wireless1.com.au/laptops/laptop-type/refurbished/asus-r505ca-xx204p-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/r/5/r505ca-xx204p-image1_1.jpg,Asus
23,"Asus T100TA-DK003H Transformer Book","Intel Atom Z3740 1.33 GHz | 10.1"" Touch (1366 x 768) | 2GB RAM | 64GB eMMC HDD | Intel HD Graphics | Windows 8.1",Transformer,489.00,http://www.wireless1.com.au/laptops/laptop-type/transformer/asus-transformer-book-t100ta-dk003h,http://www.wireless1.com.au/media/catalog/product/i/m/image2_5_1.jpg,Asus
24,"Asus T100TA-DK003H Transformer Refurbished Laptop","Intel Atom Z3740 1.33 GHz | 10.1"" Touch (1366 x 768) | 2GB RAM | 64GB eMMC HDD | Intel HD Graphics | Windows 8.1",Refurbished,399.00,http://www.wireless1.com.au/laptops/laptop-type/refurbished/asus-t100ta-dk003h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/i/m/image2_5.jpg,Asus
25,"Asus TAICHI21-CW003H Refurbished Laptop","Intel Core i5-3317U 1.7GHz | 11.6"" Dual LED Screen (Touch Outer) | 4GB RAM | 128GB SSD | Windows 8",Refurbished,749.00,http://www.wireless1.com.au/laptops/laptop-type/refurbished/asus-taichi21-cw003h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/t/a/taichi21_2.jpg,Asus
28,"Asus TAICHI21-CW015H Refurbished Laptop","Intel Core i5-3337U 1.8GHz | 11.6"" FHD Touch Screen (Outside) &amp; 11.6"" FHD LED Screen (Inside) | 4GB RAM | 128GB SSD | Windows 8","Oz-Bargain Stunner Deals",699.00,http://www.wireless1.com.au/ozbargain-specials/asus-taichi21-cw015h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/t/a/taichi21_3__2.jpg,Asus
31,"Asus TAICHI31-CX022H Refurbished Laptop","Intel Core i5-3337U 2.7GHz | 13.3"" Dual LED Screen (Touch Outer) | 4GB RAM | 128GB SSD | Windows 8","Oz-Bargain Stunner Deals",949.00,http://www.wireless1.com.au/ozbargain-specials/asus-taichi31-cx022h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/t/a/taichi31_front.jpg,Asus
32,"Asus TX201LA-CQ004H Transformer","Intel Core i5 3337U Dock CPU + Intel Z2560 Tablet CPU | 11.6"" LED Touch | 2GB RAM on Screen 4GB RAM on Dock | 16GB on Screen 500GB HDD on Dock | Windows 8",Transformer,"1,199.00",http://www.wireless1.com.au/laptops/laptop-type/transformer/asus-tx201la-cq004h-transformer,http://www.wireless1.com.au/media/catalog/product/d/b/dbac0aopavgiwj88_500.jpg,Asus
33,"Asus U38N-C4016H Refurbished Laptop","AMD A8-4555M 1.6GHz | 13.3"" Touch Screen Full HD | 4GB RAM | 128GB SSD | Windows 8","Oz-Bargain Stunner Deals",699.00,http://www.wireless1.com.au/ozbargain-specials/asus-u38n-c4016h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/u/3/u38n-c4016h-image4.jpg,Asus
42,"Toshiba CB30-002 13.3"" Chromebook Laptop","Intel Celeron N2955U 1.4GHz | 13.3"" HD LED Screen | 2GB RAM | 16GB SSD | CHROME OS",Notebooks,339.00,http://www.wireless1.com.au/laptops/laptop-type/toshiba-cb30-002-laptop,http://www.wireless1.com.au/media/catalog/product/c/b/cb30-002-image1.jpg,Toshiba
44,"Toshiba Satellite S70T-A04G Laptop","Intel Core i7-4700MQ 2.4GHz | 17.3"" (1600x900) | 8GB RAM | 1TB HDD | NVIDIA GeForce GT 740M 2GB | Windows 8",Notebooks,"1,399.00",http://www.wireless1.com.au/laptops/laptop-type/toshiba-satellite-s70t-a04g-laptop,http://www.wireless1.com.au/media/catalog/product/s/7/s70t-a04g_1.jpg,Toshiba
45,"Toshiba Satellite U50D-A018 Laptop","AMD A6-5200 Quad Core 2.0GHz | 15.6"" | 8GB DDR3 RAM | 750GB HDD | AMD Radeon HD 8400G | Windows 8",Notebooks,699.00,http://www.wireless1.com.au/laptops/laptop-type/toshiba-satellite-u50d-a018-laptop,http://www.wireless1.com.au/media/catalog/product/e/1/e1d0820bb499dffdc464365ec55d6d02.jpg,Toshiba
46,"Toshiba Satellite P70-A07T Laptop","Intel Core i7-4700MQ 2.4GHz | 17.3"" FHD (1920x1080) | 16GB RAM | 8GB SSD + 1TB HDD | NVIDIA GeForce GT 740M 2GB | Windows 8",Notebooks,"1,588.00",http://www.wireless1.com.au/laptops/laptop-type/toshiba-satellite-p70-a07t-laptop,http://www.wireless1.com.au/media/catalog/product/t/o/toshiba_p70-a07t_1_.jpg,Toshiba
47,"Toshiba P70-A08S Laptop","Intel i7-4700MQ 2.4GHz | 17.3"" | 16GB DDR3 RAM | 2TB HDD + 8GB SSD | NVIDIA GeForce GT745M 4GB | Windows 8",Notebooks,"2,099.00",http://www.wireless1.com.au/laptops/laptop-type/toshiba-p70-a08s-laptop,http://www.wireless1.com.au/media/catalog/product/p/7/p70-a08s-5.jpg,Toshiba
50,"Asus DSL-N55U Dual-band ADSL Modem Router N600","This Modem Router suits ADSL2+ | Dual Band Wireless N | Wi-Fi speeds of up to 600Mbps | Strong Range | 2 x USB ports","Asus Cashback Promotion",124.00,http://www.wireless1.com.au/asus-cashback/asus-dsl-n55u-dual-band-adsl-modem-router-n600,http://www.wireless1.com.au/media/catalog/product/d/s/dsl-n55u-dual-band-adsl-router-n600_1_1.jpg,Asus
51,"Asus EA-N66 Wireless Gigabit Ethernet Adapter N450","This Adapter is Dual Band | Wireless N | Wi-Fi speeds of up to 900Mbps | Strong Range","Wireless Adaptors &amp; Dongles",99.00,http://www.wireless1.com.au/networking/networking-products/asus-ea-n66-wireless-gigabit-ethernet-adapter-n450,http://www.wireless1.com.au/media/catalog/product/e/a/ea-n66_1.jpg,Asus
52,"Asus PCE-AC68 Dual Band Wi-Fi AC1900 Pci-e Adapter","This Adapter is Dual Band | Wireless AC | Wi-Fi speeds of up to 1900Mbps | Strong Range","Wireless Adaptors &amp; Dongles",109.00,http://www.wireless1.com.au/networking/networking-products/asus-pce-ac68-dualband-wifi-ac1900-pci-e-adapter,http://www.wireless1.com.au/media/catalog/product/p/c/pce-ac68_1.jpg,Asus
53,"Asus RP-N53 Dual-band WIRELESS-N600 Range Extender","This Range Extender is Dual Band | Wireless N | Wi-Fi speeds of up to 600Mbps | Strong Range","Wireless Range Extenders",89.00,http://www.wireless1.com.au/networking/networking-products/asus-rp-n53-dual-band-wireless-n600-range-extender,http://www.wireless1.com.au/media/catalog/product/r/p/rp-n53_1.jpg,Asus
54,"Asus RT-AC66U Dual-band Wireless AC1750 Gigabit Router","This Router suits Cable/NBN | Dual Band Wireless AC | Combined Dual Band Wi-Fi speeds of up to 1750Mbps | Strong Range | 2 x USB ports","Wireless Routers",213.99,http://www.wireless1.com.au/networking/networking-products/asus-rt-ac66u-wireless-dual-band-gigabit-router,http://www.wireless1.com.au/media/catalog/product/r/t/rt-ac66u_2_1.jpg,Asus
55,"Asus RT-AC68U  Dual Band  Wireless AC1900 GIGABYTE Router","This Router suits Cable/NBN | Dual Band Wireless AC | Wi-Fi speeds of up to 1900Mbps | Strong Range | 1 x USB 2.0 port | 1 x USB 3.0 port","Asus Cashback Promotion",235.00,http://www.wireless1.com.au/asus-cashback/asus-rt-ac68u-ac1900-dual-band-router,http://www.wireless1.com.au/media/catalog/product/r/t/rt-ac68u_1_1.jpg,Asus
56,"Asus RT-N66U Wireless Dual-band N900 Gigabit Router","This Router suits Cable/NBN | Wireless N | Combined Dual Band Wi-Fi speeds of up to 900Mbps | Strong Range | 2 x USB ports","Wireless Routers",175.00,http://www.wireless1.com.au/networking/networking-products/asus-rt-n66u-dual-band-n900-gigabit-router,http://www.wireless1.com.au/media/catalog/product/r/t/rt-n66u_1.jpg,Asus
57,"Asus USB-AC53 Dual-band AC1200 USB Adapter","This USB Adapter is Dual Band | Wireless AC | Combined Dual Band Wi-Fi speeds of up to 300+867Mbps | Strong Range","Wireless Adaptors &amp; Dongles",39.00,http://www.wireless1.com.au/networking/networking-products/asus-usb-ac53-dual-band-adapter,http://www.wireless1.com.au/media/catalog/product/u/s/usb-ac53_3.jpg,Asus
58,"Asus USB-N13 Wireless N300 USB Adapter","This Wi-Fi USB Adapter is Single Band | Wireless N | Data rate of up to 300Mbps | Up to 150m Range","Wireless Adaptors &amp; Dongles",18.99,http://www.wireless1.com.au/networking/networking-products/asus-usb-n13-wireless-n-adapter-n300,http://www.wireless1.com.au/media/catalog/product/u/s/usb-n13_2.jpg,Asus
59,"D-Link DAP-1320 Wireless N300 Range Extender","This Wi-Fi Range Extender is Single Band | Wireless N | Wi-Fi speeds of up to 300Mbps | Moderate Range ","Wireless Range Extenders",35.00,http://www.wireless1.com.au/networking/networking-products/d-link-dap-1320-wireless-n300-range-extender,http://www.wireless1.com.au/media/catalog/product/d/a/dap-1320_ps1.jpg,D-Link
60,"D-Link DAP-1360 Wireless N300 Access Point","This Access Point is Single Band | Wireless N | Wi-Fi speeds of up to 300Mbps | Moderate Range ","Wireless Access Points",49.00,http://www.wireless1.com.au/networking/networking-products/d-link-dap-1360-wireless-n-access-point,http://www.wireless1.com.au/media/catalog/product/d/a/dap-1360_ps4.jpg,D-Link
61,"D-Link DAP-1650 AC1200 Dual Band Range Extender","This Wi-Fi Range Extender is Dual Band | Wireless AC | Combined Dual Band Wi-Fi speeds of up to 1.2 Gbps | Strong Range","Wireless Range Extenders",119.00,http://www.wireless1.com.au/networking/networking-products/d-link-dap-1650-ac1200-dual-band-range-extender,http://www.wireless1.com.au/media/catalog/product/d/a/dap-1650_ps1.jpg,D-Link
62,"D-Link DCS-2132L HD Cloud Camera","HD Video Resolution up to 1280 x 800 | IR LEDs capture movements at Night | mydlink+ app for iOS &amp; Android | E-mail Alerts | View Angles up to 57.8 degrees Horizontal &amp; 37.8 degrees Vertical | Up to 10X Digital Zoom","Security Cameras",159.00,http://www.wireless1.com.au/networking/networking-products/d-link-dcs-2132l-hd-cloud-camera,http://www.wireless1.com.au/media/catalog/product/d/c/dcs-2132l_ps1.jpg,D-Link
63,"D-Link DCS-5010L Cloud Camera","Video Resolution up to 640 x 480 | IR LEDs capture movements at Night | mydlink+ app for iOS and Android | Email Alerts | Pan Range up to 340 degrees | Tilt Range up to 120 degrees | 4X Digital Zoom","Security Cameras",128.00,http://www.wireless1.com.au/networking/networking-products/d-link-dcs-5010l-cloud-camera,http://www.wireless1.com.au/media/catalog/product/d/c/dcs-5010l_ps1.jpg,D-Link
64,"D-Link DCS-5020L Cloud Camera","Video Resolution up to 480p | IR LEDs capture Night movements | App for iOS &amp; Android | Email Alerts | Pan Range up to 340 degrees | Tilt Range up to 120 degrees | Built-in Wi-Fi Extender | Sound &amp; Motion Detection","Security Cameras",166.00,http://www.wireless1.com.au/networking/networking-products/d-link-dcs-5020l-cloud-camera,http://www.wireless1.com.au/media/catalog/product/d/c/dcs-5020l_ps1.jpg,D-Link
65,"D-Link DCS-825L Wi-Fi Baby Camera Pink Blue Trim","This Wi-Fi Baby Camera has HD Resolution of 1280 x 720 | Lens Focal length of 3.3 mm | Wireless N | Built-in Microphone and Speaker | MicroSDHC Card Slot","D-Link Promo",178.98,http://www.wireless1.com.au/d-link-promo/d-link-dcs-825l-wifi-baby-camera-pink-blue-trim,http://www.wireless1.com.au/media/catalog/product/d/c/dcs-825l_ps1.jpg,D-Link
66,"D-Link DCS-930L Wireless N Network Camera","Video Resolution up to 640 x 480 | 1.0 lux Cmos Sensor captures movements in Low light | E-mail Alerts | View Angles up to 45.3 degrees Horizontal &amp; 34.5 degrees Vertical | Up to 4X Digital Zoom","Security Cameras",38.99,http://www.wireless1.com.au/networking/networking-products/d-link-dcs-930l-wireless-n-network-camera,http://www.wireless1.com.au/media/catalog/product/d/c/dcs-930l_ps1.jpg,D-Link
67,"D-Link DCS-932L Cloud Camera","Video Resolution up to 640 x 480 | IR LEDs capture movements at Night | Automated E-mail Alerts | View Angles up to 45.3 degrees Horizontal &amp; 34.5 degrees Vertical | Up to 4X Digital Zoom","Security Cameras",74.00,http://www.wireless1.com.au/networking/networking-products/d-link-dcs-932l-cloud-camera,http://www.wireless1.com.au/media/catalog/product/d/c/dcs-932l_ps1.jpg,D-Link
68,"D-Link DGS-1005A 5 Port Gigabit Switch","This Switch has 5 x Gigabit LAN ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | 10 Gbps Switching Fabric",Switches,19.00,http://www.wireless1.com.au/networking/networking-products/d-link-dgs-1005a-5-port-gigabit-switch,http://www.wireless1.com.au/media/catalog/product/d/g/dgs-1005a_ps1.jpg,D-Link
69,"D-Link DGS-1008A 8-Port Gigabit Easydesktop Switch","This Switch has 8 x Gigabit Ethernet LAN ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | 16 Gbps switching fabric",Switches,25.00,http://www.wireless1.com.au/networking/networking-products/d-link-dgs-1008a-8-port-gigabit-easydesktop-switch,http://www.wireless1.com.au/media/catalog/product/d/g/dgs-1008a_ps1_1.jpg,D-Link
70,"D-Link DGS-1016A 16 Port Gigabit Switch","This Switch is Unmanaged | 16 x Gigabit ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | Switching Capacity of up to 32 Gbps",Switches,78.00,http://www.wireless1.com.au/networking/networking-products/d-link-dgs-1016a-16-port-gigabit-switch,http://www.wireless1.com.au/media/catalog/product/d/g/dgs-1016a-_ps1.jpg,D-Link
71,"D-Link DGS-1016D 16 Port Gigabit Switch","This Switch is Unmanaged | 16 x Gigabit ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | Switching Capacity of up to 32 Gbps",Switches,97.50,http://www.wireless1.com.au/networking/networking-products/d-link-dgs-1016d-16-port-gigabit-switch,http://www.wireless1.com.au/media/catalog/product/d/g/dgs-1016d_ps1.jpg,D-Link
72,"D-Link DGS-1024A 24 Port Gigabit Switch","This Switch is Unmanaged | 24 x Gigabit ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | Switching Capacity of up to 48 Gbps",Switches,99.00,http://www.wireless1.com.au/networking/networking-products/d-link-dgs-1024a-24-port-gigabit-switch,http://www.wireless1.com.au/media/catalog/product/d/g/dgs-1024a_ps1.jpg,D-Link
73,"D-Link DGS-1024D 24 Port Gigabit Switch","This Switch is Unmanaged | 24 x Gigabit ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | 48 Gbps Switching Capacity ",Switches,118.99,http://www.wireless1.com.au/networking/networking-products/d-link-dgs-1024d-24-port-gigabit-switch,http://www.wireless1.com.au/media/catalog/product/d/g/dgs-1024d_ps1.jpg,D-Link
74,"D-Link DGS-105 5 Ports Gigabit Switch","This Switch is Unmanaged | 5 x Gigabit LAN ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | 10 Gbps Switching Fabric",Switches,29.00,http://www.wireless1.com.au/networking/networking-products/d-link-dgs-105-5-ports-gigabit-switch,http://www.wireless1.com.au/media/catalog/product/d/g/dgs-105_ps1.jpg,D-Link
75,"D-Link DGS-108 8-Port Gigabit Switch","This Switch is Unmanaged | 8 x Gigabit LAN ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | Store-and-forward Transmission Method | RAM Buffer of 128 KB per device ",Switches,38.99,http://www.wireless1.com.au/networking/networking-products/d-link-dgs-108-8-port-gigabit-switch,http://www.wireless1.com.au/media/catalog/product/d/g/dgs-108_ps1.jpg,D-Link
