mpn,manufacturer,"product name","product  description ",price,stock,"stock description ","product url","image url",category,"shipping rate "
ASUF550CC-XO068H_RFB,Asus,"Asus F550CC-XO068H Refurbished Laptop","Powered by Intel processorsGenuine Windows 8, Intel Core i5 processors,2GB GT 720M graphics, and 4GB DDR3 video memory boost productivity and multimedia output. ASUS F550cc notebooks deliver the best mobile performance in their class for both work and play.Stay comfortable with IceCool technologyExclusive ASUS engineering has created a unique internal layout that keeps heat away from palm rests and from users. Always below body temperature, palm rests feel cool to the touch, and are therefore more comfortable to use even during long sessions.Smartphone-like responsiveness with instant onOnly ASUS notebooks offer you true 2-second instant on resume from sleep or hibernate, cutting out long reboot times and putting you back to work or enjoyment right where you left off. Thanks to ASUS Super Hybrid Engine II technology, you also get up to 14 days of standby, with auto data backup should battery charge drop to 5% or less.SonicMaster Lite audio amazementExclusive ASUS sound enhancement turns the new F Series into highly capable multimedia notebooks, with the best sound in their class: more power, wider range, and improved clarity combine to offer a more satisfying multimedia experience.Work and enjoy faster with USB 3.0Now standard on F Series notebooks, USB 3.0 transfers data up to ten times faster than USB 2.0, leading to quicker backups and access. When even a 25GB Blu-ray HD movie takes just 70 seconds to transfer, you can really say goodbye to long-wait frustrations.Asus Refurbished StockSummaryThe Asus Laptops have been fully refurbished by Asus Australia to the highest possible standards. They are NOT refurbished by a 3rd party, like some other products. They have been resealed with the manufacturers sticker on them.The laptops are in full working order and carry a full 12 month warranty.&nbsp;As they are refurbished stock, there may be very minor surface marks on them and we have inspected several units and they look like new. They have re-used the packaging to save costs and the environment, but the contents inside are in the highest possible condition.Stock is limited, so be sure to grab these computers at heavily discounted prices.",619.00,Yes,New,http://www.wireless1.com.au/ozbargain-specials/asus-f550cc-x0068h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/i/m/image4_1.jpg,"Oz-Bargain Stunner Deals",
ASUF550CC-XO069H_RFB,Asus,"Asus F550CC-XO069H Refurbished Laptop","&nbsp;Powered by Intel processorsGenuine Windows 8, Intel Core i7 processors,2GB GT 720M graphics, and 4GB DDR3 video memory boost productivity and multimedia output. ASUS F550cc notebooks deliver the best mobile performance in their class for both work and play.Stay comfortable with IceCool technologyExclusive ASUS engineering has created a unique internal layout that keeps heat away from palm rests and from users. Always below body temperature, palm rests feel cool to the touch, and are therefore more comfortable to use even during long sessions.Smartphone-like responsiveness with instant onOnly ASUS notebooks offer you true 2-second instant on resume from sleep or hibernate, cutting out long reboot times and putting you back to work or enjoyment right where you left off. Thanks to ASUS Super Hybrid Engine II technology, you also get up to 14 days of standby, with auto data backup should battery charge drop to 5% or less.SonicMaster Lite audio amazementExclusive ASUS sound enhancement turns the new F Series into highly capable multimedia notebooks, with the best sound in their class: more power, wider range, and improved clarity combine to offer a more satisfying multimedia experience.Work and enjoy faster with USB 3.0Now standard on F Series notebooks, USB 3.0 transfers data up to ten times faster than USB 2.0, leading to quicker backups and access. When even a 25GB Blu-ray HD movie takes just 70 seconds to transfer, you can really say goodbye to long-wait frustrations.Asus Refurbished StockSummaryThe Asus Laptops have been fully refurbished by Asus Australia to the highest possible standards. They are NOT refurbished by a 3rd party, like some other products. They have been resealed with the manufacturers sticker on them.The laptops are in full working order and carry a full 12 month warranty.&nbsp;As they are refurbished stock, there may be very minor surface marks on them and we have inspected several units and they look like new. They have re-used the packaging to save costs and the environment, but the contents inside are in the highest possible condition.Stock is limited, so be sure to grab these computers at heavily discounted prices.",749.00,Yes,New,http://www.wireless1.com.au/laptops/laptop-type/refurbished/asus-f550cc-xo069h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/i/m/image5_1_1.jpg,Refurbished,
ASUF550DP-XX008H_RFB,Asus,"Asus F550DP-XX008H Refurbished Laptop","Whether you work from home or the office, this Windows 8 powered Asus F550DP-XX008H Laptop will give you the tools you need to complete your tasks. It features an AMD&reg; A8 3.20GHz Quad-Core Processor, 2GB AMD&reg; Radeon&trade; dedicated graphics card, 8GB RAM, 750GB Hard Drive Storage, DVD Burner Optical Drive with SuperMulti support and a fantastic 15.6&rdquo; high definition LED backlit LCD display.Day-to-Day PerformanceThe Asus F550DP-XX008H laptop comes with an AMD&reg; A8-5550M 3.20GHz Quad-Core processor, AMD&reg; Radeon&trade; HD 7470 2GB dedicated Graphics Card and 8GB of RAM. This combination of CPU power, Memory and Graphics Card is important as it will let you run common programs -like Microsoft Office and undertake general tasks such as web browsing and internet chatting. If you think there is a chance that you will need to concurrently run more demanding programs such as Quicken, MYOB and Photoshop, you may wish to consider opting for a device with more processing power and additional RAM.*Personal Entertainment UnitThis Asus F550DP-XX008H laptop PC features an inbuilt DVD Optical Disk Drive (ODD). You&rsquo;ll be able to enjoy your favourite DVD movies and music CDs with personalised comfort. And because this Optical Disk Drive is a SuperMulti Burner type, it expands your storage options by letting you save your data content onto writable DVDs to archive or share with your colleagues.^Reliable StorageIf you&rsquo;re looking for a device that will offer you stable, high-capacity long term storage then look no further. The Asus F550DP-XX008H laptop computer comes with an inbuilt 750GB 5400RPM Hard Disk Drive (HDD) so you can store all your important data content. Although HDDs are not as fast as Solid State Drives (SSD) they offer superior re-write cycles and are less prone to drive failure &ndash;meaning you&rsquo;ll be able to save and re-save information with absolute confidence.Windows 8 OSExperience the flexibility and freedom that only Windows 8 can offer you. Windows 8 lets you get the most out of your compatible devices such as tablet, laptop and desktop PC &ndash;quickly. It does this by linking them up through the Cloud so you can access your photos, documents and settings on any Windows 8 device.&dagger; It is also optimised for touch-screen devices so when it is installed on your compatible touch-screen devices, Windows 8 gives you instant access to your friends, apps and favourite content in a smooth, intuitive and more natural way. Spend more time doing the things you love &ndash;quickly.*Software referenced here such as Quicken, MYOB, Photoshop and Microsoft Office need to be purchased separately.^Writable DVDs sold separately.&dagger;Connection to the Cloud requires active internet connection. Separate fees and charges may apply.Asus Refurbished StockSummaryThe Asus Laptops have been fully refurbished by Asus Australia to the highest possible standards. They are NOT refurbished by a 3rd party, like some other products. They have been resealed with the manufacturers sticker on them.The laptops are in full working order and carry a full 12 month warranty.&nbsp;As they are refurbished stock, there may be very minor surface marks on them and we have inspected several units and they look like new. They have re-used the packaging to save costs and the environment, but the contents inside are in the highest possible condition.Stock is limited, so be sure to grab these computers at heavily discounted prices.",599.00,Yes,New,http://www.wireless1.com.au/ozbargain-specials/asus-f550dp-xx008h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/f/5/f550dp-xx008h-image-1.jpg,"Oz-Bargain Stunner Deals",
ASUG750JX-T4061H,Asus,"Asus G750JX-T4061H Laptop","Incredible&nbsp;BEAUTYG750 is even slimmer and more gamer-centric than previous G Series notebooks, which is saying a lot. It meets your gaming needs as the ultimate weapon in any gameplay genre, making you a better gamer and a mightier ally to your teammates.Once more, the eye-catching design draws inspiration from stealth fighters, presenting an ergonomically-inclined surface for greater comfort during long gaming sessions. The screen offers wide viewing angles and supports NVIDIA&reg; 3D Vision&trade; technology for action in the third dimension. To better keep in touch with your co-op partners and everyone else, there's an HD camera, while a range of exclusive accessories complete your gaming experiences for more thrills at home and away.Incredible&nbsp;TOUCHWith G750 no corners are cut as we make sure it augments your experiences. Its premium gaming keyboard arrives with sensitive response and durable keys that can take the pressure. Typing and controlling games is easy and comfortable, and the keyboard is stylishly backlit to look great and remain fully usable even in the dark. It's also a seamless keyboard built using one-piece construction for better strength, and offers highly tactile scissor-feet touchpad buttons to offer improved response and longevity.Incredible&nbsp;PERFORMANCEG750 sets its sights on all-new benchmarks of powerful performance that is always available to you. Games run faster, your experiences are augmented by lightning-quick response, and complete stability is guaranteed with superior cooling that uses a unique rear-venting design to push heat and noise away from you. If you game, play to win, which is why G750 is armed to the teeth with new technology, from the 4th gen Intel&reg; Core&trade; i7 processor and NVIDIA&reg; GeForce&reg; GTX 770M GPU to the latest in connectivity and data transfer. It drives games in ultra detail and complete fluidity, while eliminating bothersome delays.Incredible&nbsp;SOUNDWhere many gaming notebooks treat sound as an afterthought, G750 puts it front and center. It features exclusive ASUS SonicMaster and ROG AudioWizard, designed by a dedicated team of audio engineers as a careful balance of hardware and software towards the best notebook sound. Sure, with G750 your games look their best, but they also sound fantastic. Every effect and note comes out with increased power, range, and clarity. This is more than enjoyment: as any gamer knows, sound is critical to success play, giving you the edge with sonic awareness and positioning. G750 integrates the latest design, with features specifically created for gaming and gamers.","2,249.00",Yes,New,http://www.wireless1.com.au/laptops/laptop-type/asus-g750jx-t4061h-laptop,http://www.wireless1.com.au/media/catalog/product/g/7/g750_1_.jpg,Notebooks,
ASUK55DR-SX051H_RFB,Asus,"Asus K55DR-SX051H Refurbished Laptop","Fusing power, style, and your comfort!AMD&reg; APU A10-4600M ProcessorIceCool Technology places heat-generating components away from the palm rest, ensuring a comfortable typing experience even after prolonged periods of usePowerful sound by ASUS SonicMaster Lite TechnologyASUS SuperBatt Technology provides an extended battery charge-cycle lifespan that is up to 3x that of normal notebooksASUS Super Hybrid Engine II Technology with instant on 2-second resumeTextured eleganceHigh grade matte texturing on the cover and palm rests creates a consistently pleasing and stylish look with improved user comfort.Powerful performanceEquipped with the latest AMD Trinity processors, the ASUS K55DR delivers the best mobile performance and multitasking capabilities in its class, for both work and play.Keeping computing cool and easyThe K55 has an array of features designed to make computing easier. IceCool Technology places heat-generating components away from the palm rest, ensuring a comfortable typing experience for users even after prolonged periods of use. It is accompanied by a large multi-touch pad for smooth, intuitive fingertip control.&nbsp;ASUS SuperBatt Technology provides an extended battery charge-cycle lifespan that is up to 3x that of normal notebooks.Computing with a smartphone-like user experienceThe K55 features a smartphone-like &ldquo;always on&rdquo; user experience thanks to the ASUS Super Hybrid Engine II with instant on technology. It enables the K55 to resume from sleep mode in just 2-seconds, and provides up to two weeks of standby time. In addition, it automatically secures and backs up data when the battery drops to 5% charge.Amazing audioASUS SonicMaster Lite gives the ASUS K55 the ability to deliver more powerful sounds and richer bass to provide the best audio experience in the mainstream notebook class.Asus Refurbished StockSummaryThe Asus Laptops have been fully refurbished by Asus Australia to the highest possible standards. They are NOT refurbished by a 3rd party, like some other products. They have been resealed with the manufacturers sticker on them.The laptops are in full working order and carry a full 12 month warranty.&nbsp;As they are refurbished stock, there may be very minor surface marks on them and we have inspected several units and they look like new. They have re-used the packaging to save costs and the environment, but the contents inside are in the highest possible condition.Stock is limited, so be sure to grab these computers at heavily discounted prices.",499.00,Yes,New,http://www.wireless1.com.au/ozbargain-specials/asus-k55dr-sx051h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/f/r/front_1.jpg,"Oz-Bargain Stunner Deals",
ASUK56CB-XO389H_RFB,Asus,"Asus K56CB-XO389H Refurbished Laptop","Extra-slim 15.6"" performance notebook with optical driveUp to Intel&reg; Core&trade; i7 3537U ProcessorPacks discrete performance, SSD speed, and hard drive&nbsp;storage capacity in a sleek designBrushed-hairline aluminum textures offer high durability and&nbsp;an elegant lookEnjoy SonicMaster for impactful and richer sound performanceSleek and elegantHairline-spun textured metal surfaces allow ASUS K56 to elegantly stand out from the crowd. With its Ultrabook&trade; form factor, it still packs full features in a slender build, matching the dynamic nature of new high-portability and intuitive computing. The slim design is easy to carry while showcasing premium chic and feel.Experience ASUS instant functionsASUS has developed a range of Instant Functions especially for Windows 8, enabling fuller immersion in the new operating system. With just one key press, engage and load up Instant Functions for more customization options and more personal interaction with your computing environment. The interface design puts you first, so it&rsquo;s utterly user friendly, offering quick settings and direct access to your content. You can change the way your ASUS K56 works and feels in seconds!Smart gesture technologyAugmented using exclusive ASUS Smart Gesture technology, the large touchpad on ASUS K56 guarantees improved touch input, with quicker and more precise gesture detection and a wider range of supported motions. These include tapping, scrolling, zooming, dragging, clicking, and more. Smart Gesture technology combines hardware and software optimization to present a new incredible standard in touch fidelity &ndash; start enjoying it now.Hear the powerMixing gorgeous design, superior hardware, and optimized software results in the ultimate sound experience. ASUS K56 gives you deeper and richer bass, a wider audio range, true-to-life surround, powerful output, distinct vocals, and pristine clarity. It employs large speakers and resonance chambers, with exclusive ASUS AudioWizard empowering immersive entertainment. It also offers access to new dimensions of sound, with selectable modes fitting your needs based on your environment and preferences to ensure multi-faceted and living music, movie, and even game sound.ASUS WebStorageASUS K56 with cloud-based WebStorage lets you access all your documents, photos, music, and videos from any device you&rsquo;re on, with instant file synchronization so you&rsquo;re always on the latest version. ASUS WebStorage maintains tight security while ensuring greater convenience &ndash; it uses easy link-based sharing to get you and your family or friends connected via one unified cloud life. Even better, ASUS K56 arrives with a free 32GB of WebStorage cloud space for three years!2-Second Instant OnExclusive ASUS Super Hybrid Engine II technology offers smartphone-like 2-second instant on from sleep or hibernate modes, so you can resume without delay. ASUS K56 is all about quick accessibility and with its energy-conserving design goes into standby for up to two weeks. Open files and tasks are kept safe in memory, plus should the battery drop below 5% charge while you&rsquo;re away, data gets automatically backed up. Your valuable content is always secure and within reach!&nbsp;*Actual standby time may vary due to specific component performance, connected devices, and environmental differentiationUp to Intel&reg; 3rd gen Core&trade; i7 processorsASUS K56 is powered by up to 3rd generation Intel&reg; Core&trade; i7 processors based on 22nm Ivy Bridge technology. Smooth and responsive performance puts you in command of great computing for everyday use, from daily tasks to multimedia. The latest Intel&reg; Core&trade; processors deliver visibly smart output, opening up satisfyingly powerful experiences that you can see and feel. They help ASUS K56 tailor-match every application you put it to, for pleasure.Asus Refurbished StockSummaryThe Asus Laptops have been fully refurbished by Asus Australia to the highest possible standards. They are NOT refurbished by a 3rd party, like some other products. They have been resealed with the manufacturers sticker on them.The laptops are in full working order and carry a full 12 month warranty.&nbsp;As they are refurbished stock, there may be very minor surface marks on them and we have inspected several units and they look like new. They have re-used the packaging to save costs and the environment, but the contents inside are in the highest possible condition.Stock is limited, so be sure to grab these computers at heavily discounted prices.",699.00,Yes,New,http://www.wireless1.com.au/laptops/laptop-type/refurbished/asus-k56cb-xo389h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/k/5/k56cb_1_.jpg,Refurbished,
ASUK56CM-XX164H_RFB,Asus,"Asus K56CM-XX164H Refurbished Laptop","&nbsp;Solid, sleek, and ready to go!- Windows 8- Fits an optical drive in 21mm- Enjoy SoniceMaster LIte for more powerful sound performance- Instant on in 2 seconds and longer standby time with the efficiency of Super Hybrid Engine II technology- Smart Gesture touchpad for always fingertip-natural computing- Seamless chiclet keyboard back-assembled to assure extra-solid typingSleek aesthetic designBeyond being extra thin and light, ASUS K56 notebooks pack a full feature set in just 21mm. The cool grey hairline design expresses a personal professional approach. One-piece molded top casing reinforces notebook strength and rigidity, and the entire style embodies subtlety that meets all your performance portability needs.&nbsp;Amazing audioK Series the ability to deliver more powerful sounds and richer bass to provide the best audio experience in the mainstream notebook class.Smartphone-like responsiveness with&nbsp;instant onOnly ASUS notebooks offer you true 2-second instant on resume from sleep or hibernate, cutting out long reboot times and putting you back to work or enjoyment right where you left off. Thanks to ASUS Super Hybrid Engine II technology, you also get up to 13 days of standby, with auto data backup should battery charge drop to 5% or less.&nbsp;User-centric innovationsThe large Smart Gesture touchpad enables always fingertip-natural computing, and the back-assembled chiclet keyboard assures extra-solid typing for greater comfort.&nbsp;Asus Refurbished StockSummaryThe Asus Laptops have been fully refurbished by Asus Australia to the highest possible standards. They are NOT refurbished by a 3rd party, like some other products. They have been resealed with the manufacturers sticker on them.The laptops are in full working order and carry a full 12 month warranty.&nbsp;As they are refurbished stock, there may be very minor surface marks on them and we have inspected several units and they look like new. They have re-used the packaging to save costs and the environment, but the contents inside are in the highest possible condition.Stock is limited, so be sure to grab these computers at heavily discounted prices.",699.00,Yes,New,http://www.wireless1.com.au/laptops/laptop-type/refurbished/asus-k56cm-xx164h-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/i/m/image5_2.jpg,Refurbished,
ASUN750JV-T4184H,Asus,"Asus N750JV-T4184H Laptop","Incredible&nbsp;BeautyHigh-quality materials with premium finishes make N Series laptops both stylish and strong. The ripple-effect speaker mesh projects artistic beauty and echoes sound excellence, showcasing appealing aesthetics and better audio.&nbsp;Up to Full HD displays with wide viewing angles make sharing of content with friends and family easy, while anti-glare coatings relieve eye strain and reduce fingerprint smudges from multi-touch gestures.Incredible&nbsp;SoundASUS SonicMaster audio technology, co-developed by Bang &amp; Olufsen ICEpower&reg;, brings you the best laptop sound. New N Series laptops are the first with a quad-speaker array. This generates spacious and cinematic-quality surround. And for deep bass, you get the bundled external SonicMaster subwoofer, which pumps out thumping low notes. For flexible user-controlled and automatic sound tuning, ASUS includes MaxxAudio sound processing tools and the AudioWizard utility. Easily change sound settings or choose one of several presets based on personal preference: the N Series makes sure everything sounds better.Incredible&nbsp;ResponsePowerful 4th generation Intel&reg; Core&trade; i5 and i7 processors accelerate everything you do with seamless multitasking. N Series has discrete NVIDIA&reg; GeForce&reg; high-performance graphics, too, for enjoying your favourite movies and games rich detail.&nbsp;ASUS Super Hybrid Engine II technology gives true two-second resume times from sleep mode and two-weeks standby with automatic data backup for when the battery does eventually run out. All this juicy hardware is cooled by a dual-exhaust rear venting thermal design that keeps heat and noise to a minimum.Incredible&nbsp;CloudWith ASUS WebStorage, you have easy storage, sharing, and syncing of everything from business presentations to photo albums and favorite multimedia content.&nbsp;N Series laptops also feature ASUS WebStorage to easily store your files across all your devices. ASUS MyBitCast application is preinstalled, too, so you can easily sync your content across multiple accounts.","1,799.00",Yes,New,http://www.wireless1.com.au/laptops/laptop-type/asus-n750jv-t4184h-laptop,http://www.wireless1.com.au/media/catalog/product/n/7/n750_2_.jpg,Notebooks,
ASUR505CA-XX204P_RFB,Asus,"Asus R505CA-XX204P Refurbished Laptop","Sleek aesthetic designBeyond being extra thin and light, ASUS R505 notebooks pack a full feature set in just 21mm. The cool grey hairline design expresses a personal professional approach. One-piece molded top casing reinforces notebook strength and rigidity, and the entire style embodies subtlety that meets all your performance portability needs.Amazing audioASUS SonicMaster Lite gives the ASUS R505&nbsp;Series the ability to deliver more powerful sounds and richer bass to provide the best audio experience in the mainstream notebook class.Smartphone-like responsiveness with&nbsp;instant on*Only ASUS notebooks offer you true 2-second instant on resume from sleep or hibernate, cutting out long reboot times and putting you back to work or enjoyment right where you left off. Thanks to ASUS Super Hybrid Engine II technology, you also get up to 13 days of standby, with auto data backup should battery charge drop to 5% or less.*Actual R505 standby time may vary due to specific component performance, connected devices, and environmental differentiation.User-centric innovationsThe large Smart Gesture touchpad enables always fingertip-natural computing, and the back-assembled chiclet keyboard assures extra-solid typing for greater comfort.Powerful CPU computing performanceThe ASUS R505CA is powered by up to 3rd generation Intel&reg; Core&trade; i7 processors with Ivy Bridge technology, perfect for mobile productivity and entertainment.Asus Refurbished StockSummaryThe Asus Laptops have been fully refurbished by Asus Australia to the highest possible standards. They are NOT refurbished by a 3rd party, like some other products. They have been resealed with the manufacturers sticker on them.The laptops are in full working order and carry a full 12 month warranty.&nbsp;As they are refurbished stock, there may be very minor surface marks on them and we have inspected several units and they look like new. They have re-used the packaging to save costs and the environment, but the contents inside are in the highest possible condition.Stock is limited, so be sure to grab these computers at heavily discounted prices.",699.00,Yes,New,http://www.wireless1.com.au/laptops/laptop-type/refurbished/asus-r505ca-xx204p-refurbished-laptop,http://www.wireless1.com.au/media/catalog/product/r/5/r505ca-xx204p-image1_1.jpg,Refurbished,
ASUT100TA-DK003H,Asus,"Asus T100TA-DK003H Transformer Book","Product comes with Microsoft Office Home &amp; Student 2013 InstalledHigh performance laptop with a detachable tabletOutstanding laptop performance with the latest Intel&reg; Atom&trade; Bay Trail-T quad-core processor and Windows 8.1 systemLaptop lighter than most Ultrabooks and one of the lightest 10&rdquo; tablets in the worldDesigned for work and playOptimum-comfort keys with 19mm travel distance for comfortable typingMicrosoft Office Home &amp; Student 2013 pre-installedUse Windows Store with Xbox Live games and musicLong battery life for all-day use11 hours web browsingASUS Instant on and Microsoft InstantGo technology mean T100 is always responsive and readyPremium design and sophisticated styleConcentric circle coated with glossy UVSoft-touch rubber finish on D part&nbsp;All-day battery lifeUp to 11 hours battery life with Wi-Fi web browsingWeb Browsing - 11 hoursVideo Playback - 10.5 hoursMusic Playback - 75 hours (display dimmed)SuperSpeed USB 3.0USB 3.0 port gives data transfer speeds up to 10x faster* than USB 2.0!*10x faster is based on theory, actual speed may be different in varies using scenario&nbsp;Dual-band 802.11a/b/g/n Wi-FiSupports both 2.4GHz and 5GHz frequencies for wide wireless network compatibility2.4GHz Wi-Fi supports a vast range of older wireless networking devices5GHz Wi-Fi works with newer wireless devices &mdash;&nbsp;significantly reduced interference from nearby networks and household equipment (microwave ovens, DECT phones, etc)Please note:*May not applied to countries that do not offer 5.0GHz channel.** The feature require sAP router&rsquo;s that provide 5GHz channel.",489.00,Yes,New,http://www.wireless1.com.au/laptops/laptop-type/transformer/asus-transformer-book-t100ta-dk003h,http://www.wireless1.com.au/media/catalog/product/i/m/image2_5_1.jpg,Transformer,
